study,box,cell,bag,spp,y_m_d,plot,subplot,mass_sent_g,
cci,a,a4,2002,pc,4/13/21,1,2,0.1118,
cci,a,a6,3000,pc,5/1/20,1,2,0.1015,
cci,a,a8,2001,pc,4/13/21,1,1,0.1222,
cci,a,a2,2003,pc,4/13/21,1,3,0.1029,
cci,a,a1,3001,pc,5/1/20,1,3,0.1228,
cci,a,a5,3002,weed,5/1/20,1,1,0.1248,
cci,a,a7,3003,weed,5/1/20,1,2,0.1086,
cci,a,a10,3004,weed,5/1/20,1,3,0.1032,
cci,a,a3,3005,weed,6/1/21,1,3,0.1093,
cci,a,a9,3006,weed,6/1/21,1,2,0.1122,
cci,a,b1,6,pc,5/1/20,2,2,0.1101,
cci,a,b5,3007,weed,5/1/20,2,1,0.1222,
cci,a,b2,3008,weed,5/1/20,2,2,0.1136,
cci,a,b7,3009,weed,5/1/20,2,3,0.1121,
cci,a,b3,3010,weed,6/1/21,2,1,0.1221,
cci,a,b4,3011,weed,6/1/21,2,2,0.1171,
cci,a,b6,3012,weed,6/1/21,2,3,0.1062,
cci,a,b8,3013,weed,5/30/20,3,1,0.1017,
cci,a,c5,3014,weed,5/30/20,3,2,0.1019,
cci,a,c2,3015,pc,5/1/20,3,1,0.1156,
 cci,a,c3,2009,pc,4/13/21,3,1,0.1035,
cci,a,c4,3016,pc,5/1/20,3,3,0.1072,
cci,a,b10,3017,weed,6/1/21,3,1,0.1087,
cci,a,b9,3018,weed,6/1/21,3,2,0.1026,
cci,a,c1,3019,pc,5/1/20,4,3,0.11,
cci,a,d2,3020,pc,5/1/20,4,1,0.1094,
cci,a,d1,3021,pc,5/1/20,4,2,0.1139,
cci,a,d5,3022,pc,5/30/20,4,4,0.1057,
cci,a,d3,59,pc,5/30/20,4,1,0.1126,
cci,a,c6,40,weed,5/12/20,4,2,0.1085,
cci,a,c7,29,weed,5/1/20,4,3,0.118,
cci,a,d4,3023,weed,5/30/20,4,4,0.1108,
cci,a,c8,2205,weed,6/1/21,4,3,0.1146, 
cci,a,c10,2203,weed,6/1/21,4,1,0.1027,
cci,a,c9,2204,weed,6/1/21,4,2,0.1051,
cci,a,g4,3047,pc,4/13/21,4,2,0.1261,
cci,a,g2,3048,pc,4/13/21,4,3,0.1007,
cci,a,g5,3049,pc,4/13/21,4,1,0.1498,
cci,a,e2,3024,pc,5/1/20,5,1,0.1002,
cci,a,d7,3025,pc,5/1/20,5,2,0.1197,
cci,a,d9,3026,pc,5/1/20,5,4,0.1056,
cci,a,e3,3027,pc,5/1/20,5,2,0.1087,
cci,a,e1,3028,pc,5/30/20,5,2,0.1118,
cci,a,d8,3029,pc,5/1/20,5,3,0.1023,
cci,a,d10,3030,weed,5/30/20,5,1,0.1076,
cci,a,e5,3031,weed,5/30/20,5,2,0.1036,
cci,a,d6,3032,weed,5/30/20,5,3,0.1089,
cci,a,e4,3033,weed,5/30/20,5,4,0.1021,
cci,a,f1,3034,weed,5/1/20,6,1,0.1061,
cci,a,e6,3035,weed,5/1/20,6,2,0.1099,
cci,a,e7,3036,weed,5/30/20,6,3,0.1049,
cci,a,e8,3037,weed,6/1/21,6,1,0.107,
cci,a,e10,3038,weed,6/1/21,6,2,0.1035,
cci,a,e9,3039,weed,6/1/21,6,3,0.1129,
cci,a,h7,3040,weed,6/1/21,7,1,0.1274,
cci,a,h5,3041,weed,6/1/21,7,2,0.1438,
cci,a,h6,3042,weed,6/1/21,7,3,0.1013,
cci,a,h4,3043,weed,6/1/20,7,3,0.1183,
cci,,,2027,pc,4/13/21,8,1,,
cci,a,g7,3044,pc,6/1/21,8,2,0.1361,
cci,a,g3,3045,pc,6/1/21,8,3,0.112,
cci,a,f2,3046,pc,6/1/21,9,3,0.1156,
cci,a,f9,3050,pc,4/13/21,3,2,0.1204,
cci,a,g6,3051,pc,4/13/21,3,3,0.1142,
cci,a,g7,3052,pc,5/1/20,8,1,0.1561,
cci,a,f8,3053,pc,5/1/20,8,2,0.1866,
cci,a,f5,3054,pc,5/1/20,8,3,0.1759,
cci,a,f10,3055,weed,6/1/20,8,1,0.1338,
cci,a,h2,3056,weed,6/1/20,8,2,0.1052,
cci,a,f3,3057,weed,6/1/20,8,3,0.1125,
cci,a,f6,3058,pc,6/1/21,9,3,0.1275,
cci,a,f4,3059,pc,6/1/21,9,2,0.1211,
cci,a,f7,3060,pc,6/1/21,9,3,0.1349,
cci,a,g1,3061,pc,5/1/20,9,1,0.1057,
cci,a,g9,3062,pc,5/1/20,9,3,0.1532,
cci,a,h3,3063,weed,5/30/20,9,3,0.0996,
cci,a,h1,3064,weed,5/30/20,9,1,0.1255,
cci,a,g10,3065,weed,6/1/21,9,2,0.1238,
decomp,a,a6,233,cr,7,2,i,0.1032,
decomp,b,a1,357,ar,7,2,h,0.1027,
decomp,b,a4,366,ar,7,2,g,0.1058,
decomp,b,a2,382,ar,7,2,i,0.1084,
decomp,b,a9,343,ar,7,1,d,0.1054,
decomp,b,a5,157,gm,7,2,g,0.1033,
decomp,b,a7,311,ar,7,1,a,0.1092,
decomp,b,a8,316,ar,7,2,j,0.1075,
decomp,b,a3,273,cr,7,2,g,0.1056,
decomp,b,b6,170,gm,7,1,d,0.1021,
decomp,b,a10,146,gm,7,1,b,0.1173,
decomp,b,b3,43,pc,7,2,h,0.1202,
decomp,b,b10,68,pc,7,1,a,0.114,
decomp,b,b4,389,ar,7,2,f,0.1065,
decomp,b,b7,259,cr,7,2,f,0.1007,
decomp,b,c1,22,pc,7,1,b,0.1025,
decomp,b,c3,97,pc,7,1,d,0.1114,
decomp,b,b9,303,ar,7,1,b,0.1012,
decomp,b,b5,116,gm,7,2,f,0.1007,
decomp,b,b8,205,cr,7,2,h,0.1019,
decomp,b,c4,222,cr,7,2,j,0.1024,
decomp,b,c2,218,cr,7,1,d,0.1038,
decomp,b,c7,221,cr,7,1,a,0.1044,
decomp,b,c10,70,pc,7,2,g,0.1095,
decomp,b,d2,127,gm,7,1,a,0.1008,
decomp,b,c5,90,pc,7,1,b,0.1032,
decomp,b,c6,190,gm,7,2,i,0.1015,
decomp,b,d1,105,gm,7,2,j,0.1154,
decomp,b,b2,92,pc,7,2,i,0.1106,
decomp,b,b1,4,pc,7,1,a,0.1024,
decomp,b,c9,189,gm,7,2,h,0.1071,
decomp,b,c8,228,cr,7,1,b,0.1046,
decomp,b,d6,379,ar,0,2,i,0.102,
decomp,b,g1,393,ar,0,2,h,0.1088,
decomp,b,f10,118,gm,0,2,f,0.1094,
decomp,b,d9,211,cr,0,2,f,0.1058,
decomp,b,g10,73,pc,0,2,h,0.106,
decomp,b,f1,272,cr,0,2,g,0.1024,
decomp,b,g7,315,ar,0,2,g,0.1086,
decomp,b,g5,34,pc,0,2,g,0.1097,
decomp,b,e6,25,pc,0,2,j,0.1383,
decomp,b,f6,325,ar,0,2,f,0.1101,
decomp,b,e1,106,gm,0,2,i,0.1133,
decomp,b,g8,56,pc,0,2,f,0.1112,
decomp,b,e5,130,gm,0,2,g,0.1099,
decomp,b,g9,84,pc,0,2,h,0.1132,
decomp,b,g3,283,cr,0,2,i,0.1082,
decomp,b,e10,109,gm,0,2,h,0.1034,
decomp,b,f4,215,cr,0,2,h,0.1066,
decomp,b,d10,200,gm,0,2,j,0.1042,
decomp,b,d5,276,cr,0,2,j,0.1004,
decomp,b,e2,123,gm,0,1,e,0.1031,
decomp,b,g2,255,cr,0,1,e,0.1098,
decomp,b,h2,11,pc,0,1,b,0.1171,
decomp,b,f9,121,gm,0,1,b,0.1094,
decomp,b,f8,387,ar,0,1,b,0.1032,
decomp,b,e9,223,cr,0,1,b,0.1032,
decomp,b,f3,392,ar,0,1,e,0.1014,
decomp,b,f7,183,gm,0,1,a,0.102,
decomp,b,d4,2,pc,0,1,a,0.1106,
decomp,b,d7,323,ar,0,1,a,0.1057,
decomp,b,d8,394,ar,0,2,j,0.1127,
decomp,b,g4,10,pc,0,1,e,0.1142,
decomp,b,h1,386,ar,0,1,d,0.1041,
decomp,b,g6,176,gm,0,1,c,0.1111,
decomp,b,e8,77,pc,0,1,c,0.1013,
decomp,b,e7,159,gm,0,1,d,0.1133,
decomp,b,f2,240,cr,0,1,c,0.1004,
decomp,b,f5,396,ar,0,1,c,0.1061,
decomp,b,d3,236,cr,0,1,a,0.1153,
decomp,b,e3,33,pc,0,1,d,0.109,
decomp,b,e4,258,cr,0,1,d,0.1013,
decomp,b,i9,86,pc,2,1,d,0.1148,
decomp,b,j5,225,cr,2,1,e,0.1072,
decomp,b,i6,329,ar,2,1,c,0.1003,
decomp,b,i10,344,ar,2,2,h,0.1058,
decomp,b,i5,347,ar,2,2,g,0.1019,
decomp,c,a8,167,gm,2,2,i,0.1119,
decomp,c,a6,119,gm,2,2,j,0.1051,
decomp,c,a5,46,pc,2,2,i,0.1334,
decomp,c,a3,333,ar,2,1,d,0.1046,
decomp,c,a4,79,pc,2,2,j,0.1113,
decomp,b,j9,112,gm,2,1,d,0.1062,
decomp,b,j10,362,ar,2,1,b,0.1048,
decomp,b,j6,275,cr,2,2,i,0.108,
decomp,c,a1,361,ar,2,2,j,0.1021,
decomp,b,j4,12,pc,2,1,e,0.1188,
decomp,c,a10,201,cr,2,1,d,0.1011,
decomp,b,h3,299,ar,2,1,e,0.1057,
decomp,b,i1,154,gm,2,1,c,0.1028,
decomp,c,b2,249,cr,2,1,a,0.1155,
decomp,c,a9,212,cr,2,1,b,0.1037,
decomp,b,i2,178,gm,2,2,f,0.1089,
decomp,b,i3,28,pc,2,1,a,0.1149,
decomp,b,i4,174,gm,2,1,e,0.1056,
decomp,b,h10,67,pc,2,1,c,0.1085,
decomp,c,a7,260,cr,2,2,f,0.1061,
decomp,b,h5,238,cr,2,1,c,0.1114,
decomp,b,h4,256,cr,2,2,h,0.1048,
decomp,b,h9,156,gm,2,1,b,0.1129,
decomp,b,i7,286,cr,2,2,g,0.1064,
decomp,b,i8,314,ar,2,2,f,0.1026,
decomp,b,h6,72,pc,2,2,g,0.1048,
decomp,b,h8,20,pc,2,2,f,0.1127,
decomp,b,h7,377,ar,2,2,i,0.1035,
decomp,b,j2,140,gm,2,1,a,0.1115,
decomp,b,j3,88,pc,2,2,h,0.1069,
decomp,b,j1,57,pc,2,1,b,0.1256,
decomp,c,a2,165,gm,2,2,g,0.1199,
decomp,b,j8,287,cr,2,2,j,0.1072,
decomp,c,b1,321,ar,2,1,a,0.1104,
decomp,b,j7,185,gm,2,2,h,0.1156,
decomp,c,e10,129,gm,5,2,g,0.1076,
decomp,c,e7,378,ar,5,1,c,0.1195,
decomp,c,f2,64,pc,5,2,j,0.1049,
decomp,c,d5,143,gm,5,1,a,0.1399,
decomp,c,d4,289,cr,5,1,a,0.1097,
decomp,c,f1,19,pc,5,2,h,0.1048,
decomp,c,d10,81,pc,5,1,d,0.1145,
decomp,c,e3,324,ar,5,2,i,0.1035,
decomp,c,d1,368,ar,5,2,g,0.1045,
decomp,c,b5,302,ar,5,2,j,0.1057,
decomp,c,b3,359,ar,5,2,f,0.113,
decomp,c,b4,142,gm,5,2,h,0.1028,
decomp,c,b7,270,cr,5,2,h,0.1051,
decomp,c,f3,136,gm,5,2,j,0.1079,
decomp,c,d6,141,gm,5,1,d,0.1134,
decomp,c,d8,334,ar,5,1,b,0.1439,
decomp,c,b8,242,cr,5,1,b,0.1029,
decomp,c,b10,265,cr,5,2,g,0.1039,
decomp,c,d2,155,gm,5,1,c,0.1106,
decomp,c,b9,187,gm,5,2,f,0.1017,
decomp,c,b6,199,cr,5,1,d,0.11,
decomp,c,c10,194,gm,5,2,i,0.1029,
decomp,c,c4,18,pc,5,1,c,0.1198,
decomp,c,c2,80,pc,5,2,f,0.1079,
decomp,c,c3,309,ar,5,2,h,0.1069,
decomp,c,c7,24,pc,5,1,e,0.1099,
decomp,c,e4,1,pc,5,1,b,0.106,
decomp,c,e1,318,ar,5,1,a,0.1071,
decomp,c,d3,350,ar,5,1,d,0.107,
decomp,c,d9,93,pc,5,2,g,0.1471,
decomp,c,c6,280,cr,5,2,i,0.1027,
decomp,c,c1,231,cr,5,1,c,0.1051,
decomp,c,e9,244,cr,5,1,e,0.1008,
decomp,c,f5,164,gm,5,1,e,0.1018,
decomp,c,d7,348,ar,5,1,e,0.1266,
decomp,c,e2,82,pc,5,2,i,0.1011,
decomp,c,c8,227,cr,5,2,j,0.1035,
decomp,c,c9,3,pc,5,1,a,0.13,
decomp,c,c5,173,gm,5,1,b,0.1406,
decomp,c,g8,41,pc,9,2,i,0.1089,
decomp,c,g6,161,gm,9,2,j,0.1092,
decomp,c,g7,224,cr,9,1,b,0.1066,
decomp,c,h8,214,cr,9,2,j,0.1028,
decomp,c,f8,52,pc,9,2,f,0.1092,
decomp,c,g3,66,pc,9,2,h,0.1067,
decomp,c,g1,180,gm,9,2,h,0.1024,
decomp,c,g5,251,cr,9,2,i,0.1006,
decomp,c,g2,313,ar,9,2,i,0.1043,
decomp,c,i3,200,cr,9,1,a,0.1074,
decomp,c,i4,384,ar,9,2,g,0.1098,
decomp,c,i5,83,pc,9,1,d,0.1112,
decomp,c,e5,133,gm,9,1,d,0.1149,
decomp,c,f9,192,gm,9,2,f,0.1039,
decomp,c,e8,85,pc,9,1,a,0.1115,
decomp,c,f7,152,gm,9,1,a,0.1063,
decomp,c,g4,282,cr,9,2,h,0.1023,
decomp,c,h4,254,cr,9,2,f,0.1006,
decomp,c,h9,148,gm,9,2,g,0.1063,
decomp,c,h10,365,ar,9,2,h,0.1094,
decomp,c,i1,248,cr,9,1,d,0.1001,
decomp,c,i6,182,gm,9,2,i,0.1087,
decomp,c,f6,326,ar,9,1,b,0.1307,
decomp,c,h7,124,gm,9,1,b,0.1079,
decomp,c,h1,58,pc,9,2,f,0.1098,
decomp,c,g9,9,pc,9,1,b,0.1043,
decomp,c,h5,327,ar,9,,,0.1178,
decomp,c,h2,298,ar,9,1,a,0.1103,
decomp,c,h3,51,pc,9,2,g,0.1034,
decomp,c,h6,213,cr,9,2,g,0.109,
decomp,c,f10,360,ar,9,1,d,0.107,
decomp,c,i2,252,cr,9,1,d,0.1098,
decomp,c,e6,17,pc,9,2,j,0.1022,
decomp,c,f4,319,ar,9,2,j,0.1613,
decomp,c,g10,352,ar,9,1,,0.1016,