spp,soil_block,days,pct_c_remain,.fitted,.resid
AR,2,0,93.8919056013182,100,-6.1080943986818
AR,2,14,76.0294099204471,77.7991173774898,-1.7697074570426992
AR,2,63,41.706150409653475,32.313649873130096,9.392500536523379
AR,2,0,91.3163645663106,100,-8.683635433689403
AR,2,14,71.43255062533076,77.7991173774898,-6.366566752159031
AR,2,35,48.720905909700576,53.38714234469004,-4.6662364349894645
AR,2,63,39.71288995332494,32.313649873130096,7.3992400801948435
AR,2,0,94.34171171139072,100,-5.658288288609285
AR,2,14,69.8595799893489,77.7991173774898,-7.9395373881408915
AR,2,35,44.04856559072086,53.38714234469004,-9.338576753969178
AR,2,63,45.65527980350089,32.313649873130096,13.341629930370793
AR,2,0,90.02192774799846,100,-9.978072252001539
AR,2,14,74.28735748697832,77.7991173774898,-3.5117598905114704
AR,2,35,53.35170141005708,53.38714234469004,-0.03544093463295894
AR,2,63,41.49944089935095,32.313649873130096,9.185791026220855
AR,2,0,94.05310743914352,100,-5.946892560856483
AR,2,14,62.049837225411984,77.7991173774898,-15.749280152077809
AR,2,35,38.44998536455501,53.38714234469004,-14.937156980135029
AR,2,63,38.49785886157483,32.313649873130096,6.18420898844473
CR,2,0,92.87488025498844,100,-7.12511974501156
CR,2,14,75.07488884015882,80.63606451603381,-5.561175675874992
CR,2,35,45.31524741961853,58.38796098330916,-13.072713563690634
CR,2,0,91.41171025304442,100,-8.588289746955581
CR,2,14,74.11730499140435,80.63606451603381,-6.518759524629459
CR,2,35,54.973941701112864,58.38796098330916,-3.4140192821963
CR,2,63,49.31599879312512,37.964873440486826,11.351125352638292
CR,2,0,90.40591031810406,100,-9.594089681895937
CR,2,14,71.429223042737,80.63606451603381,-9.20684147329682
CR,2,35,59.96126312726514,58.38796098330916,1.5733021439559778
CR,2,63,51.849195777217126,37.964873440486826,13.8843223367303
CR,2,0,93.69837550460048,100,-6.301624495399523
CR,2,14,78.00780707325838,80.63606451603381,-2.6282574427754355
CR,2,35,55.49375674055012,58.38796098330916,-2.894204242759045
CR,2,63,46.47172333038023,37.964873440486826,8.506849889893402
CR,2,0,92.97930394023348,100,-7.020696059766522
CR,2,14,74.49584861725181,80.63606451603381,-6.140215898782003
CR,2,35,56.77866032594808,58.38796098330916,-1.6093006573610822
CR,2,63,34.998383412241736,37.964873440486826,-2.96649002824509
GM_PC,2,0,104.35880381129424,100,4.358803811294237
GM_PC,2,14,80.47777537810254,92.31696852527162,-11.839193147169084
GM_PC,2,35,75.08608846888589,81.88490265292995,-6.798814184044062
GM_PC,2,63,72.26726118278395,69.78577513302588,2.4814860497580753
GM_PC,2,0,102.6907323943942,100,2.690732394394203
GM_PC,2,14,93.402955663732115,92.31696852527162,1.0859871384604958
GM_PC,2,35,77.47218939776224,81.88490265292995,-4.412713255167716
GM_PC,2,63,75.17267461807042,69.78577513302588,5.3868994850445375
GM_PC,2,0,102.25293774350229,100,2.2529377435022866
GM_PC,2,14,92.78904649975443,92.31696852527162,0.47207797448281497
GM_PC,2,35,67.42554179551168,81.88490265292995,-14.459360857418275
GM_PC,2,63,78.4699793186945,69.78577513302588,8.68420418566862
GM_PC,2,0,104.7016760992311,100,4.7016760992310935
GM_PC,2,14,92.1958083693404,92.31696852527162,-0.12116015593122142
GM_PC,2,35,83.06610141009413,81.88490265292995,1.1811987571641822
GM_PC,2,63,68.30087335253235,69.78577513302588,-1.48490178049353
GM_PC,2,0,111.60493767278392,100,11.604937672783919
GM_PC,2,0,68.83569851926809,100,-31.164301480731908
GM_PC,2,14,89.88927560708333,92.31696852527162,-2.427692918188285
GM_PC,2,35,82.79335961965776,81.88490265292995,0.9084569667278117
GM_PC,2,63,73.86148721123755,69.78577513302588,4.075712078211666
PC,2,0,96.66529648914069,100,-3.3347035108593133
PC,2,14,85.81761094300721,88.19735934071863,-2.379748397711424
PC,2,35,70.40111159286825,73.05315148979041,-2.6520398969221617
PC,2,63,59.270706878208024,56.82639696485271,2.444309913355312
PC,2,0,97.91543241698668,100,-2.0845675830133246
PC,2,14,83.82471030401821,88.19735934071863,-4.372649036700423
PC,2,35,65.43520382192672,73.05315148979041,-7.617947667863689
PC,2,63,58.822753830595886,56.82639696485271,1.9963568657431736
PC,2,0,101.74950449729477,100,1.7495044972947653
PC,2,14,82.6641197498985,88.19735934071863,-5.533239590820131
PC,2,35,71.9700529830024,73.05315148979041,-1.083098506788005
PC,2,63,69.76752985032324,56.82639696485271,12.94113288547053
PC,2,0,96.48769196175012,100,-3.512308038249884
PC,2,14,79.70718731590259,88.19735934071863,-8.490172024816047
PC,2,35,69.99028890883969,73.05315148979041,-3.0628625809507213
PC,2,63,60.39049663739217,56.82639696485271,3.564099672539456
PC,2,0,97.76852900891151,100,-2.231470991088486
PC,2,14,81.66699866577187,88.19735934071863,-6.530360674946763
PC,2,35,67.85473815878235,73.05315148979041,-5.198413331008055
PC,2,63,59.306770014203494,56.82639696485271,2.4803730493507814
AR,1,0,92.23657165018422,100,-7.763428349815783
AR,1,14,68.66017719782334,77.21793533116683,-8.557758133343484
AR,1,35,41.4788915864399,52.39567781582449,-10.916786229384591
AR,1,63,44.64344620197116,31.241496823216824,13.401949378754335
AR,1,0,92.60277044651777,100,-7.397229553482234
AR,1,14,66.53554459715326,77.21793533116683,-10.682390734013566
AR,1,35,51.00431305453817,52.39567781582449,-1.3913647612863187
AR,1,63,32.0146156807982,31.241496823216824,0.7731188575813768
AR,1,0,93.76522081119178,100,-6.2347791888082185
AR,1,14,73.69167858601539,77.21793533116683,-3.526256745151443
AR,1,35,54.86277777862006,52.39567781582449,2.467099962795565
AR,1,0,93.84525455928308,100,-6.154745440716923
AR,1,14,77.30230746713772,77.21793533116683,0.0843721359708951
AR,1,35,49.912278844964945,52.39567781582449,-2.4833989708595468
AR,1,63,48.93440004310581,31.241496823216824,17.692903219888986
AR,1,0,92.1519030355546,100,-7.8480969644454035
AR,1,14,68.72038745743335,77.21793533116683,-8.497547873733481
AR,1,35,48.89681550736945,52.39567781582449,-3.4988623084550383
CR,1,0,93.2086439573646,100,-6.7913560426354
CR,1,14,71.12949747778326,83.0185338779327,-11.889036400149436
CR,1,35,57.313346126913466,62.79681951496416,-5.483473388050697
CR,1,63,46.47805493458492,43.280051339510344,3.1980035950745744
CR,1,0,94.04122623959168,100,-5.95877376040832
CR,1,14,64.83135441840918,83.0185338779327,-18.18717945952352
CR,1,35,70.00898893759458,62.79681951496416,7.212169422630417
CR,1,63,53.878258861302896,43.280051339510344,10.598207521792553
CR,1,0,90.59976380579272,100,-9.400236194207281
CR,1,14,73.12509093519267,83.0185338779327,-9.893442942740023
CR,1,35,59.271426489806345,62.79681951496416,-3.5253930251578183
CR,1,0,92.65255097929482,100,-7.347449020705184
CR,1,14,86.07502304686717,83.0185338779327,3.056489168934476
CR,1,35,62.789995906727945,62.79681951496416,-0.006823608236217638
CR,1,63,50.50865523074624,43.280051339510344,7.228603891235899
CR,1,0,93.91822186982075,100,-6.081778130179245
CR,1,14,78.94874513875256,83.0185338779327,-4.06978873918014
CR,1,35,60.18952924872999,62.79681951496416,-2.6072902662341733
GM_PC,1,0,100.48092210534948,100,0.4809221053494781
GM_PC,1,14,91.8481242809806,92.4258869303052,-0.5777626493245975
GM_PC,1,35,82.42457123118069,82.12664224506543,0.2979289861152665
GM_PC,1,63,72.5315796270786,70.1570502161523,2.3745294109263
GM_PC,1,0,102.72520245218408,100,2.725202452184078
GM_PC,1,14,91.0878439765783,92.4258869303052,-1.338042953726898
GM_PC,1,35,72.21658599606907,82.12664224506543,-9.910056248996355
GM_PC,1,63,73.0226981596828,70.1570502161523,2.8656479435305044
GM_PC,1,0,103.07724598167869,100,3.0772459816786863
GM_PC,1,14,81.59679264645538,92.4258869303052,-10.829094283849813
GM_PC,1,35,86.84219837480778,82.12664224506543,4.715556129742353
GM_PC,1,0,103.4789981600944,100,3.478998160094406
GM_PC,1,14,90.67304247080388,92.4258869303052,-1.7528444595013184
GM_PC,1,35,84.86261068281793,82.12664224506543,2.735968437752504
GM_PC,1,63,69.16630763746224,70.1570502161523,-0.9907425786900603
GM_PC,1,0,103.71682518741734,100,3.716825187417342
GM_PC,1,14,92.08339580107388,92.4258869303052,-0.34249112923131975
GM_PC,1,35,84.4335569808234,82.12664224506543,2.306914735757971
PC,1,0,95.3459889449512,100,-4.654011055048798
PC,1,14,81.1291158082819,86.99571228455206,-5.866596476270161
PC,1,35,70.83537919198821,70.59023386482227,0.24514532716594317
PC,1,63,62.78580530883239,53.424481669510456,9.361323639321931
PC,1,0,96.18229507388992,100,-3.817704926110082
PC,1,14,80.29125055991653,86.99571228455206,-6.704461724635522
PC,1,35,63.05832489762235,70.59023386482227,-7.531908967199918
PC,1,63,65.40534062917595,53.424481669510456,11.980858959665497
PC,1,0,97.85519499283946,100,-2.1448050071605422
PC,1,14,78.33270694019954,86.99571228455206,-8.663005344352513
PC,1,35,77.93591269304122,70.59023386482227,7.345678828218951
PC,1,0,103.2670397607031,100,3.267039760703099
PC,1,14,81.3966324717547,86.99571228455206,-5.599079812797356
PC,1,35,77.81769376563996,70.59023386482227,7.227459900817692
PC,1,63,41.52963098623253,53.424481669510456,-11.894850683277923
PC,1,0,96.2530961670854,100,-3.7469038329145974
PC,1,14,84.25458712552596,86.99571228455206,-2.7411251590260974
PC,1,35,65.01283193516514,70.59023386482227,-5.577401929657128
