sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remaing,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
2,PC,23.689,23.141,0,1,1,1.84,44.4,0.444,10.7761261,10.274604,0.953459889449512,95.3459889449512,0.0184,0.44345808000000003,0.42579439999999996,0.9601683207576237,96.01683207576237
183,GM_PC,24.783,24.581,0,1,1,1.84,43.7,0.43700000000000006,10.6904840988,10.741897000000002,1.004809221053495,100.48092210534948,0.0184,0.39540161265000007,0.4522904,1.1438759618827263,114.38759618827264
236,CR,22.415,20.883,0,1,1,1.58,43,0.43,9.633967,8.97969,0.932086439573646,93.2086439573646,0.0158,0.32255185,0.3299514,1.0229406527973721,102.29406527973721
323,AR,23.875,22.134,0,1,1,1.76,41.1,0.411,9.8627625,9.097074,0.9223657165018422,92.23657165018422,0.0176,0.40850125,0.3895584,0.9536284160697184,95.36284160697184
11,PC,25.556,24.848,0,1,2,1.45,45,0.45,11.625424400000002,11.1816,0.9618229507388992,96.18229507388992,0.014499999999999999,0.47840832000000005,0.36029599999999995,0.753113992666348,75.31139926663481
121,GM_PC,23.302,23.361,0,1,2,1.74,44.2,0.442,10.0516346072,10.325562,1.0272520245218408,102.72520245218408,0.0174,0.3717729241,0.4064814,1.0933593428946538,109.33593428946537
223,CR,22.739,21.226,0,1,2,1.69,43.3,0.433,9.7732222,9.190858,0.9404122623959168,94.04122623959168,0.0169,0.32721421,0.35871939999999997,1.09628307401442,109.628307401442
387,AR,23.035,21.388,0,1,2,1.49,41.2,0.412,9.5157585,8.811856,0.9260277044651776,92.60277044651777,0.0149,0.39412885000000003,0.31868120000000005,0.8085711056168561,80.8571105616856
77,PC,24.881,24.342,0,1,3,2.19,45.5,0.455,11.3183669,11.07561,0.9785519499283946,97.85519499283946,0.0219,0.46577232,0.5330898,1.144528725966369,114.4528725966369
176,GM_PC,24.481,23.871,0,1,3,1.36,45.6,0.456,10.5602122916,10.885176,1.030772459816787,103.07724598167869,0.013600000000000001,0.39058333855000005,0.3246456,0.8311813842475025,83.11813842475026
240,CR,23.294,21.393,0,1,3,1.36,42.4,0.424,10.0117612,9.070632,0.9059976380579272,90.59976380579272,0.013600000000000001,0.33520066,0.2909448,0.8679720380025505,86.79720380025505
396,AR,23.779,22.141,0,1,3,1.57,41.6,0.416,9.8231049,9.210656,0.937652208111918,93.76522081119178,0.015700000000000002,0.40685869,0.3476137,0.8543843563965661,85.4384356396566
33,PC,24.673,24.556,0,1,4,2.55,47.2,0.472,11.2237477,11.590432000000002,1.032670397607031,103.2670397607031,0.0255,0.46187856,0.626178,1.355719997048575,135.5719997048575
159,GM_PC,24.805,24.442,0,1,4,1.48,45.3,0.453,10.699974098,11.072226,1.034789981600944,103.4789981600944,0.0148,0.39575261275,0.3617416,0.9140599160832703,91.40599160832703
258,CR,22.677,21.05,0,1,4,1.32,42.9,0.429,9.7465746,9.03045,0.926525509792948,92.65255097929482,0.0132,0.32632203,0.27786,0.8514901675501345,85.14901675501345
386,AR,22.69,21.196,0,1,4,1.65,41.5,0.415,9.373239000000002,8.79634,0.9384525455928308,93.84525455928308,0.0165,0.3882259,0.34973400000000004,0.900851797883655,90.0851797883655
10,PC,24.173,23.573,0,1,5,1.59,44.9,0.449,10.9962977,10.584277,0.962530961670854,96.2530961670854,0.0159,0.45251855999999996,0.37481070000000005,0.8282769661425602,82.82769661425601
123,GM_PC,23.508,23.372,0,1,5,1.38,45,0.45,10.1404955088,10.5174,1.0371682518741734,103.71682518741734,0.0138,0.3750595614,0.3225336,0.8599530133189133,85.99530133189133
255,CR,22.334,20.583,0,1,5,1.35,43.8,0.43799999999999994,9.5991532,9.015354,0.9391822186982076,93.91822186982075,0.013500000000000002,0.32138626,0.2778705,0.8645998120765961,86.45998120765961
392,AR,23.252,21.695,0,1,5,1.76,40.8,0.408,9.6054012,8.85156,0.9215190303555462,92.1519030355546,0.0176,0.39784172,0.381832,0.9597585693124391,95.97585693124391
56,PC,24.762,23.931,0,2,6,1.66,45.5,0.455,11.2642338,10.888605,0.9666529648914068,96.66529648914069,0.0166,0.46354464,0.3972546,0.8569931905587346,85.69931905587346
118,GM_PC,24.775,24.62,0,2,6,1.5,45.3,0.453,10.68703319,11.15286,1.0435880381129423,104.35880381129424,0.015,0.39527397625,0.3693,0.9342886761824862,93.42886761824862
211,CR,22.504,21.087,0,2,6,1.41,42.6,0.426,9.6722192,8.983062,0.9287488025498842,92.87488025498844,0.0141,0.32383256000000005,0.2973267,0.918149490588593,91.8149490588593
325,AR,23.05,21.543,0,2,6,1.85,41.5,0.415,9.521955,8.940344999999999,0.938919056013182,93.8919056013182,0.018500000000000003,0.3943855,0.39854550000000005,1.010548055138944,101.05480551389441
34,PC,24.263,23.752,0,2,7,1.87,45.5,0.455,11.0372387,10.80716,0.9791543241698668,97.91543241698668,0.0187,0.45420336000000006,0.4441624,0.9778932502833091,97.78932502833091
130,GM_PC,24.425,24.097,0,2,7,1.76,44.9,0.449,10.53605593,10.819553,1.026907323943942,102.6907323943942,0.0176,0.38968988375,0.4241072000000001,1.0883197580568449,108.8319758056845
272,CR,23.233,21.327,0,2,7,1.45,42.8,0.428,9.9855434,9.127956,0.9141171025304442,91.41171025304442,0.014499999999999999,0.33432287,0.3092415,0.9249785992803903,92.49785992803903
315,AR,22.536,20.634,0,2,7,1.87,41.2,0.412,9.309621600000002,8.501208,0.913163645663106,91.3163645663106,0.0187,0.38559096000000004,0.3858558,1.0006868418284496,100.06868418284496
84,PC,24.494,24.808,0,2,8,2.17,45.7,0.457,11.1423206,11.337256,1.0174950449729476,101.74950449729477,0.0217,0.45852768,0.5383336,1.1740482057702601,117.40482057702602
109,GM_PC,26.027,26.091,0,2,8,1.74,44,0.44,11.2271004172,11.48004,1.0225293774350228,102.25293774350229,0.0174,0.41524907285000007,0.4539834,1.0932797438514494,109.32797438514494
215,CR,22.77,20.672,0,2,8,1.46,42.8,0.428,9.786546,8.847616,0.9040591031810408,90.40591031810406,0.0146,0.3276603,0.3018112,0.9211100642952472,92.11100642952472
393,AR,23.033,21.475,0,2,8,1.65,41.8,0.418,9.514932300000002,8.97655,0.9434171171139072,94.34171171139072,0.0165,0.39409463,0.3543375,0.8991178083294361,89.9117808329436
73,PC,24.455,23.853,0,2,9,1.62,45,0.45,11.1245795,10.73385,0.9648769196175012,96.48769196175012,0.016200000000000003,0.45779759999999997,0.3864186000000001,0.8440817514115411,84.4081751411541
106,GM_PC,25.459,25.439,0,2,9,1.41,45.2,0.452,10.9820858924,11.498428,1.047016760992311,104.7016760992311,0.0141,0.40618688845,0.3586899,0.8830661702763292,88.30661702763291
283,CR,22.948,21.542,0,2,9,1.33,42.9,0.429,9.8630504,9.241518,0.9369837550460048,93.69837550460048,0.013300000000000001,0.33022172,0.28650860000000006,0.8676249399948618,86.76249399948618
379,AR,23.238,21.129,0,2,9,1.74,40.9,0.409,9.5996178,8.641761,0.9002192774799846,90.02192774799846,0.0174,0.39760217999999997,0.3676446,0.9246543869553231,92.46543869553231
25,PC,24.96,24.028,0,2,10,1.78,46.2,0.462,11.354304,11.100936,0.9776852900891152,97.76852900891151,0.0178,0.46725120000000003,0.4276984,0.9153500301336839,91.53500301336838
200,GM_PC,22.932,25.034,0,2,10,1.76,44.1,0.441,9.8920300752,11.039994,1.1160493767278392,111.60493767278392,0.0176,0.3658697406,0.4405984,1.2042493573736117,120.42493573736117
200,GM_PC,22.932,25.034,0,2,10,1.58,27.2,0.272,9.8920300752,6.809248,0.688356985192681,68.83569851926809,0.0158,0.3658697406,0.39553720000000003,1.0810874912785833,108.10874912785833
276,CR,23.275,21.481,0,2,10,1.44,43.3,0.433,10.003595,9.301273,0.9297930394023348,92.97930394023348,0.0144,0.33492724999999995,0.3093264,0.9235629528502086,92.35629528502086
394,AR,23.677,22.167,0,2,10,1.77,41.5,0.415,9.7809687,9.199305,0.9405310743914352,94.05310743914352,0.0177,0.40511347,0.39235590000000004,0.9685086501813925,96.85086501813926
28,PC,24.473,20.668,14,1,1,1.45,43.7,0.43700000000000006,11.1327677,9.031916,0.8112911580828189,81.1291158082819,0.014499999999999999,0.45813455999999997,0.29968599999999995,0.65414405758867,65.414405758867
140,GM_PC,24.657,21.806,14,1,1,1.2,44.8,0.4479999999999999,10.6361322852,9.769088,0.918481242809806,91.8481242809806,0.012,0.39339133935000004,0.261672,0.6651697020894265,66.51697020894265
249,CR,22.318,16.682,14,1,1,1.14,40.9,0.409,9.5922764,6.822937999999999,0.7112949747778325,71.12949747778326,0.011399999999999999,0.32115602000000004,0.19017479999999995,0.5921570456627278,59.21570456627278
321,AR,22.812,16.257,14,1,1,1.28,39.8,0.398,9.423637200000002,6.470286,0.6866017719782335,68.66017719782334,0.0128,0.39031332,0.20808960000000004,0.5331347646552262,53.313476465522626
57,PC,24.357,20.689,14,1,2,1.55,43,0.43,11.0799993,8.89627,0.8029125055991654,80.29125055991653,0.0155,0.45596304,0.3206795,0.7033015219830099,70.330152198301
156,GM_PC,24.764,22.841,14,1,2,1.24,42.6,0.426,10.6822881904,9.730266,0.910878439765783,91.0878439765783,0.0124,0.39509847620000005,0.2832284,0.716855207147468,71.6855207147468
212,CR,22.444,17.276,14,1,2,1.23,36.2,0.362,9.6464312,6.253912000000001,0.6483135441840917,64.83135441840918,0.0123,0.32296916,0.2124948,0.6579414579398232,65.79414579398232
362,AR,23.852,19.339,14,1,2,1.31,33.9,0.33899999999999997,9.8532612,6.555920999999999,0.6653554459715326,66.53554459715326,0.0131,0.40810772,0.2533409,0.6207696830630892,62.07696830630892
67,PC,25.11,20.712,14,1,3,1.62,43.2,0.4320000000000001,11.422539,8.947584,0.7833270694019955,78.33270694019954,0.016200000000000003,0.4700592,0.33553440000000007,0.7138130686517784,71.38130686517783
154,GM_PC,24.979,21.34,14,1,3,1.42,41.2,0.412,10.7750313644,8.79208,0.8159679264645538,81.59679264645538,0.014199999999999999,0.39852870445000005,0.30302799999999996,0.7603668107626066,76.03668107626066
238,CR,22.586,17.023,14,1,3,1.27,41.7,0.417,9.7074628,7.098591000000001,0.7312509093519267,73.12509093519267,0.0127,0.32501253999999996,0.2161921,0.6651807957932947,66.51807957932947
329,AR,22.761,17.721,14,1,3,1.61,39.1,0.391,9.4025691,6.928911,0.7369167858601539,73.69167858601539,0.0161,0.38944070999999997,0.2853081,0.7326098496482303,73.26098496482302
86,PC,24.129,20.398,14,1,4,1.8,43.8,0.43799999999999994,10.9762821,8.934323999999998,0.8139663247175469,81.3966324717547,0.018000000000000002,0.45169488,0.36716400000000005,0.812858449934168,81.2858449934168
112,GM_PC,25.908,23.621,14,1,4,1.4,42.9,0.429,11.1757681488,10.133409,0.9067304247080388,90.67304247080388,0.013999999999999999,0.4133504814000001,0.33069399999999993,0.8000329378593046,80.00329378593047
201,CR,22.603,21.441,14,1,4,1.04,39,0.39,9.714769400000002,8.36199,0.8607502304686717,86.07502304686717,0.0104,0.32525717000000004,0.22298639999999997,0.6855695141170907,68.55695141170906
333,AR,23.878,20.119,14,1,4,1.42,37.9,0.379,9.8640018,7.625101,0.7730230746713772,77.30230746713772,0.014199999999999999,0.40855258,0.2856898,0.6992730287004919,69.92730287004919
12,PC,24.599,20.496,14,1,5,2.18,46,0.46,11.1900851,9.42816,0.8425458712552596,84.25458712552596,0.0218,0.46049328,0.44681279999999995,0.9702916837353196,97.02916837353196
174,GM_PC,24.784,22.073,14,1,5,1.2,44.6,0.446,10.6909154624,9.844558,0.920833958010739,92.08339580107388,0.012,0.39541756720000004,0.264876,0.6698640171088484,66.98640171088483
225,CR,22.993,18.401,14,1,5,1.26,42.4,0.424,9.8823914,7.802023999999999,0.7894874513875255,78.94874513875256,0.0126,0.33086927,0.2318526,0.7007377868606535,70.07377868606535
299,AR,22.364,15.676,14,1,5,1.6,40.5,0.405,9.2385684,6.3487800000000005,0.6872038745743334,68.72038745743335,0.016,0.38264804,0.250816,0.6554744145559976,65.54744145559977
20,PC,25.37,22.009,14,2,6,1.37,45,0.45,11.540813000000002,9.90405,0.858176109430072,85.81761094300721,0.0137,0.4749264,0.3015233,0.63488426838348,63.488426838348
178,GM_PC,24.712,22.816,14,2,6,1.33,37.6,0.376,10.6598572832,8.578816,0.8047777537810253,80.47777537810254,0.013300000000000001,0.39426883960000003,0.3034528,0.7696596066477479,76.9659606647748
260,CR,22.604,18.465,14,2,6,1.18,39.5,0.395,9.7151992,7.293675,0.7507488884015883,75.07488884015882,0.0118,0.32527156,0.217887,0.6698618225337623,66.98618225337623
314,AR,22.97,17.596,14,2,6,1.2,41,0.41,9.488907,7.214359999999999,0.760294099204471,76.0294099204471,0.012,0.3930167,0.211152,0.5372596126322368,53.725961263223674
72,PC,24.899,21.052,14,2,7,1.7,45.1,0.451,11.3265551,9.494452,0.8382471030401821,83.82471030401821,0.017,0.46610928,0.35788400000000004,0.7678113596021946,76.78113596021946
165,GM_PC,24.496,22.741,14,2,7,1.76,43.4,0.434,10.5666827456,9.869594,0.9340295566373212,93.402955663732115,0.0176,0.3908226568,0.40024160000000003,1.0241002998063649,102.41002998063648
286,CR,23.07,17.881,14,2,7,1.24,41.1,0.411,9.915486,7.349091,0.7411730499140435,74.11730499140435,0.0124,0.33197730000000003,0.2217244,0.6678902443028483,66.78902443028483
347,AR,23.934,18.063,14,2,7,1.49,39.1,0.391,9.887135400000002,7.062633,0.7143255062533076,71.43255062533076,0.0149,0.40951074000000004,0.2691387,0.6572201256553124,65.72201256553124
88,PC,24.411,20.91,14,2,8,2.2,43.9,0.439,11.1045639,9.17949,0.826641197498985,82.6641197498985,0.022000000000000002,0.45697392000000003,0.46002000000000004,1.0066657633328397,100.66657633328397
185,GM_PC,24.751,22.67,14,2,8,1.57,43.7,0.43700000000000006,10.6766804636,9.906790000000004,0.9278904649975444,92.78904649975443,0.015700000000000002,0.39489106705000004,0.3559190000000001,0.901309322236288,90.1309322236288
256,CR,23.209,17.046,14,2,8,1.24,41.8,0.418,9.9752282,7.125227999999999,0.71429223042737,71.429223042737,0.0124,0.33397751,0.21137039999999999,0.6328881247123497,63.28881247123497
344,AR,23.047,16.924,14,2,8,1.41,39.3,0.393,9.5207157,6.651131999999999,0.698595799893489,69.8595799893489,0.0141,0.39433417000000004,0.2386284,0.6051425875672909,60.51425875672909
46,PC,24.49,20.09,14,2,9,1.57,44.2,0.442,11.140501,8.87978,0.7970718731590258,79.70718731590259,0.015700000000000002,0.4584528,0.31541300000000005,0.687994489290937,68.7994489290937
167,GM_PC,24.704,22.329,14,2,9,1.45,44,0.44,10.6564063744,9.82476,0.921958083693404,92.1958083693404,0.014499999999999999,0.39414120320000007,0.32377049999999996,0.8214581408168795,82.14581408168794
