spp,data,fit,pct_n_remain,days,.fitted,.resid
AR,,,101.0548055138944,0,100,1.0548055138943937
AR,,,53.725961263223674,14,84.08178612948358,-30.3558248662599
AR,,,67.32998254432756,63,45.830930978541375,21.49905156578619
AR,,,100.06868418284496,0,100,0.06868418284496158
AR,,,65.72201256553124,14,84.08178612948358,-18.35977356395233
AR,,,61.35869655236198,35,64.8268354477974,-3.468138895435416
AR,,,49.58464500273949,63,45.830930978541375,3.7537140241981177
AR,,,89.9117808329436,0,100,-10.088219167056394
AR,,,60.51425875672909,14,84.08178612948358,-23.567527372754483
AR,,,61.831318709060355,35,64.8268354477974,-2.995516738737038
AR,,,53.00633495385715,63,45.830930978541375,7.175403975315774
AR,,,92.46543869553231,0,100,-7.534561304467687
AR,,,69.94951418684742,14,84.08178612948358,-14.132271942636152
AR,,,65.60781266045531,35,64.8268354477974,0.7809772126579162
AR,,,57.3744143593048,63,45.830930978541375,11.543483380763426
AR,,,96.85086501813926,0,100,-3.1491349818607404
AR,,,51.77317292164161,14,84.08178612948358,-32.308613207841965
AR,,,53.34038287280411,35,64.8268354477974,-11.48645257499328
AR,,,55.39074162093932,63,45.830930978541375,9.559810642397949
AR,,,95.36284160697184,0,100,-4.637158393028159
AR,,,53.313476465522626,14,84.08178612948358,-30.76830966396095
AR,,,59.51719830649576,35,64.8268354477974,-5.309637141301636
AR,,,55.988908793889415,63,45.830930978541375,10.15797781534804
AR,,,80.8571105616856,0,100,-19.1428894383144
AR,,,62.07696830630892,14,84.08178612948358,-22.004817823174655
AR,,,84.45485327946777,35,64.8268354477974,19.628017831670377
AR,,,45.88450226965715,63,45.830930978541375,0.05357129111577308
AR,,,85.4384356396566,0,100,-14.561564360343397
AR,,,73.26098496482302,14,84.08178612948358,-10.820801164660551
AR,,,74.07272399679994,35,64.8268354477974,9.245888549002544
AR,,,90.0851797883655,0,100,-9.914820211634506
AR,,,69.92730287004919,14,84.08178612948358,-14.154483259434386
AR,,,63.139940196747865,35,64.8268354477974,-1.6868952510495276
AR,,,62.91805059509237,63,45.830930978541375,17.087119616550993
AR,,,95.97585693124392,0,100,-4.024143068756075
AR,,,65.54744145559977,14,84.08178612948358,-18.53434467388381
AR,,,68.80297272715067,35,64.8268354477974,3.9761372793532814
CR,,,91.8149490588593,0,100,-8.185050941140702
CR,,,66.98618225337623,14,87.75979533063956,-20.773613077263335
CR,,,70.74049299897133,35,72.15044338743715,-1.4099503884658162
CR,,,92.49785992803903,0,100,-7.502140071960966
CR,,,66.78902443028483,14,87.75979533063956,-20.970770900354736
CR,,,70.9123985352445,35,72.15044338743715,-1.238044852192644
CR,,,71.37063719940132,63,55.56869628309642,15.801940916304893
CR,,,92.11100642952472,0,100,-7.888993570475279
CR,,,63.28881247123497,14,87.75979533063956,-24.470982859404593
CR,,,71.25168934577077,35,72.15044338743715,-0.8987540416663791
CR,,,71.22897241334564,63,55.56869628309642,15.660276130249223
CR,,,86.76249399948618,0,100,-13.237506000513818
CR,,,52.95305369904361,14,87.75979533063956,-34.806741631595955
CR,,,55.81328795180315,35,72.15044338743715,-16.337155435634003
CR,,,77.89461539897556,63,55.56869628309642,22.325919115879138
CR,,,92.35629528502086,0,100,-7.643704714979137
CR,,,68.01660463764384,14,87.75979533063956,-19.743190692995725
CR,,,62.965209462255025,35,72.15044338743715,-9.185233925182125
CR,,,43.97024913138641,63,55.56869628309642,-11.598447151710012
CR,,,102.2940652797372,0,100,2.2940652797371968
CR,,,59.21570456627278,14,87.75979533063956,-28.544090764366786
CR,,,73.79455829961074,35,72.15044338743715,1.6441149121735918
CR,,,75.91745356812032,63,55.56869628309642,20.3487572850239
CR,,,109.628307401442,0,100,9.628307401442001
CR,,,65.79414579398232,14,87.75979533063956,-21.96564953665724
CR,,,69.1387613071636,35,72.15044338743715,-3.0116820802735447
CR,,,72.66069913027941,63,55.56869628309642,17.09200284718299
CR,,,86.79720380025505,0,100,-13.202796199744952
CR,,,66.51807957932947,14,87.75979533063956,-21.241715751310096
CR,,,75.8707210522747,35,72.15044338743715,3.7202776648375533
CR,,,85.14901675501345,0,100,-14.850983244986551
CR,,,68.55695141170906,14,87.75979533063956,-19.202843918930498
CR,,,73.23498170316398,35,72.15044338743715,1.0845383157268316
CR,,,78.82726123960799,63,55.56869628309642,23.25856495651157
CR,,,86.45998120765961,0,100,-13.54001879234039
CR,,,70.07377868606535,14,87.75979533063956,-17.68601664457421
CR,,,66.75813243907659,35,72.15044338743715,-5.39231094836056
GM_PC,,,93.42886761824862,0,100,-6.571132381751383
GM_PC,,,76.9659606647748,14,92.50032484401241,-15.534364179237613
GM_PC,,,75.9352104304591,35,82.2920999234767,-6.356889493017604
GM_PC,,,85.3312589723833,63,70.41167254166783,14.91958643071547
GM_PC,,,108.8319758056845,0,100,8.831975805684493
GM_PC,,,102.41002998063648,14,92.50032484401241,9.90970513662407
GM_PC,,,73.33673414636196,35,82.2920999234767,-8.955365777114736
GM_PC,,,80.80807956101982,63,70.41167254166783,10.396407019351997
GM_PC,,,109.32797438514494,0,100,9.327974385144941
GM_PC,,,90.1309322236288,14,92.50032484401241,-2.369392620383607
GM_PC,,,63.29813186534036,35,82.2920999234767,-18.99396805813634
GM_PC,,,86.18979499987636,63,70.41167254166783,15.778122458208529
GM_PC,,,88.30661702763291,0,100,-11.69338297236709
GM_PC,,,82.14581408168794,14,92.50032484401241,-10.354510762324466
GM_PC,,,68.94740827087406,35,82.2920999234767,-13.344691652602634
GM_PC,,,75.50115938323809,63,70.41167254166783,5.089486841570263
GM_PC,,,120.42493573736115,0,100,20.424935737361153
GM_PC,,,108.10874912785832,0,100,8.108749127858317
GM_PC,,,76.97905627053225,14,92.50032484401241,-15.521268573480157
GM_PC,,,83.05695788631469,35,82.2920999234767,0.7648579628379935
GM_PC,,,69.23544083101844,63,70.41167254166783,-1.1762317106493896
GM_PC,,,114.38759618827264,0,100,14.387596188272639
GM_PC,,,66.51697020894265,14,92.50032484401241,-25.98335463506976
GM_PC,,,84.89582332847229,35,82.2920999234767,2.6037234049955913
GM_PC,,,81.23562271046602,63,70.41167254166783,10.823950168798191
GM_PC,,,109.33593428946536,0,100,9.335934289465357
GM_PC,,,71.6855207147468,14,92.50032484401241,-20.81480412926561
GM_PC,,,80.13239713697375,35,82.2920999234767,-2.1597027865029474
GM_PC,,,81.5793438912645,63,70.41167254166783,11.167671349596674
GM_PC,,,83.11813842475026,0,100,-16.881861575249744
GM_PC,,,76.03668107626066,14,92.50032484401241,-16.463643767751748
GM_PC,,,76.41928576470185,35,82.2920999234767,-5.872814158774844
GM_PC,,,91.40599160832704,0,100,-8.594008391672958
GM_PC,,,80.00329378593047,14,92.50032484401241,-12.497031058081944
GM_PC,,,81.98205010488682,35,82.2920999234767,-0.31004981858987435
GM_PC,,,85.68656252980688,63,70.41167254166783,15.274889988139051
GM_PC,,,85.99530133189133,0,100,-14.004698668108674
GM_PC,,,66.98640171088483,14,92.50032484401241,-25.513923133127577
GM_PC,,,68.96612997952536,35,82.2920999234767,-13.325969943951335
PC,,,85.69931905587346,0,100,-14.30068094412654
PC,,,63.488426838348,14,90.00975685565474,-26.521330017306745
PC,,,71.44713917453991,35,76.86417520895745,-5.417036034417535
PC,,,74.02001035183457,63,62.273481798899155,11.746528552935416
PC,,,97.78932502833092,0,100,-2.2106749716690786
PC,,,76.78113596021946,14,90.00975685565474,-13.228620895435284
PC,,,87.98494872305345,35,76.86417520895745,11.120773514096001
PC,,,56.5957502486,63,62.273481798899155,-5.677731550299157
PC,,,117.40482057702602,0,100,17.404820577026015
PC,,,100.66657633328396,14,90.00975685565474,10.656819477629213
PC,,,63.315138449306595,35,76.86417520895745,-13.549036759650853
PC,,,86.6948462874564,63,62.273481798899155,24.421364488557245
PC,,,84.4081751411541,0,100,-15.591824858845897
PC,,,68.7994489290937,14,90.00975685565474,-21.210307926561043
PC,,,74.55469482409829,35,76.86417520895745,-2.3094803848591567
PC,,,78.90205409191347,63,62.273481798899155,16.628572293014315
PC,,,91.53500301336838,0,100,-8.464996986631618
PC,,,79.64799723872305,14,90.00975685565474,-10.361759616931693
PC,,,85.37558227094269,35,76.86417520895745,8.511407061985238
PC,,,75.03887526000649,63,62.273481798899155,12.765393461107337
PC,,,96.01683207576237,0,100,-3.983167924237634
PC,,,65.414405758867,14,90.00975685565474,-24.595351096787738
PC,,,60.48960204466619,35,76.86417520895745,-16.374573164291256
PC,,,67.80926598999966,63,62.273481798899155,5.535784191100504
PC,,,75.31139926663481,0,100,-24.688600733365192
PC,,,70.330152198301,14,90.00975685565474,-19.67960465735375
PC,,,67.28254391860295,35,76.86417520895745,-9.581631290354494
PC,,,77.93995326177368,63,62.273481798899155,15.666471462874526
PC,,,114.4528725966369,0,100,14.452872596636894
PC,,,71.38130686517783,14,90.00975685565474,-18.62844999047691
PC,,,70.46918442469581,35,76.86417520895745,-6.394990784261637
PC,,,135.5719997048575,0,100,35.57199970485749
PC,,,81.2858449934168,14,90.00975685565474,-8.72391186223794
PC,,,68.71884243728161,35,76.86417520895745,-8.14533277167584
PC,,,60.428037885468214,63,62.273481798899155,-1.845443913430941
PC,,,82.82769661425601,0,100,-17.172303385743987
PC,,,97.02916837353196,14,90.00975685565474,7.0194115178772165
PC,,,62.12335464998581,35,76.86417520895745,-14.740820558971642
